name,description,price,stock
diclofenac / misoprostol,Osteoarthritis,8,32
Emsam,Depression,7.9,32
Monodox,Acne,7.8,32
nalbuphine,Pain,7.3,32
tocilizumab,Rheumatoid Arthritis,6.8,32
Abilify Maintena,Schizophrenia,6.1,32
Bactrim DS,Acne,6,32
chondroitin / glucosamine,Osteoarthritis,5.9,32
Aricept,Alzheimer's,5,32
Estarylla,Acne,4.8,32
Gelsyn-3,Osteoarthritis,4.4,32
budesonide,IBD (Bowel),7.6,31
imipramine,Depression,6.5,31
Stiolto Respimat,COPD,6.3,31
acetaminophen / diphenhydramine,Insomnia,6.3,31
moxifloxacin,Bronchitis,6.1,31
Arava,Rheumatoid Arthritis,6.1,31
Allegra-D 24 Hour,Hayfever,6,31
esomeprazole / naproxen,Osteoarthritis,4.8,31
doxazosin,Hypertension,4.5,31
Tazorac,Acne,8,30
Halcion,Insomnia,7.9,30
beclomethasone,Hayfever,7.5,30
Ultracet,Pain,7.5,30
famotidine / ibuprofen,Osteoarthritis,7,30
Actemra,Rheumatoid Arthritis,6.9,30
psyllium,Constipation,6.3,30
hydrochlorothiazide / olmesartan,Hypertension,6.1,30
Dovato,AIDS/HIV,5.9,30
dolutegravir / lamivudine,AIDS/HIV,5.9,30
capsaicin,Osteoarthritis,5.1,30
Clobex,Psoriasis,8.6,29
Amerge,Migraine,8.4,29
Fentanyl Transdermal System,Pain,8.1,29
etanercept,Psoriasis,8.1,29
Kadian,Pain,8,29
Cimzia,Rheumatoid Arthritis,7.8,29
certolizumab,Rheumatoid Arthritis,7.8,29
Lantus SoloStar,Diabetes (Type 2),7.6,29
aliskiren,Hypertension,6.9,29
Avelox,Bronchitis,6.5,29
Lotrel,Hypertension,5.9,29
Macrodantin,UTI,4.3,29
daridorexant,Insomnia,3,29
Quviviq,Insomnia,3,29
opium,Diarrhea,9.6,28
Roxicodone,Pain,9,28
celecoxib,Rheumatoid Arthritis,7.4,28
Excedrin,Migraine,6.6,28
Benicar HCT,Hypertension,6.5,28
Nature-Throid,Hypothyroidism,6.3,28
Lantus,Diabetes (Type 2),6.2,28
Metamucil,Constipation,6.1,28
rivastigmine,Alzheimer's,6,28
methylprednisolone,Hayfever,5.1,28
Toujeo SoloStar,Diabetes (Type 2),4.8,28
Tri-Lo-Marzia,Acne,3.7,28
methenamine,UTI,8.3,27
omeprazole / sodium bicarbonate,GERD (Heartburn),8.2,27
Amnesteem,Acne,7.8,27
Tiger Balm,Pain,7.3,27
Tekturna,Hypertension,7.2,27
doxepin,Depression,7.1,27
hydroxyzine,Pain,6.7,27
eslicarbazepine,Seizures,6.7,27
Aleve,Pain,6.3,27
Niaspan,Cholesterol,5.9,27
Vimovo,Osteoarthritis,5.2,27
desloratadine,Hayfever,4.9,27
Aptiom,Seizures,6.7,26
Dyanavel XR,ADHD,6.6,26
Invega Trinza,Schizophrenia,6.2,26
Tylenol PM,Insomnia,5.9,26
valproic acid,Bipolar Disorder,5.6,26
triamcinolone,Psoriasis,8.4,25
Zenzedi,ADHD,8.1,25
fluoxetine / olanzapine,Depression,7.8,25
Ocella,Acne,7.5,25
azilsartan medoxomil / chlorthalidone,Hypertension,7.4,25
Edarbyclor,Hypertension,7.4,25
dolutegravir,AIDS/HIV,7,25
naproxen,Rheumatoid Arthritis,6.9,25
Duexis,Osteoarthritis,6.8,25
Namenda,Alzheimer's,4.9,25
Aclasta,Osteoporosis,4.3,25
phenobarbital,Seizures,8.9,24
Staxyn,Erectile Dysfunction,8.7,24
estazolam,Insomnia,8.6,24
Arthrotec,Osteoarthritis,8.3,24
armodafinil,ADHD,8.1,24
glycerin,Constipation,7.5,24
acetaminophen / caffeine / dihydrocodeine,Pain,7.1,24
hydrochlorothiazide / valsartan,Hypertension,6.8,24
etodolac,Osteoarthritis,6.8,24
gemfibrozil,Cholesterol,6.3,24
Dovonex,Psoriasis,6.2,24
Carafate,GERD (Heartburn),6.1,24
caffeine / ergotamine,Migraine,9.1,23
indomethacin,Pain,7,23
Aleve PM,Insomnia,6.9,23
diphenhydramine / naproxen,Insomnia,6.9,23
Caverject,Erectile Dysfunction,6.7,23
Synjardy,Diabetes (Type 2),6.6,23
Botox,Migraine,6.1,23
onabotulinumtoxinA,Migraine,6.1,23
ciprofloxacin,Bronchitis,5.5,23
Enstilar,Psoriasis,5.3,23
QNASL,Hayfever,7.5,22
empagliflozin / linagliptin,Diabetes (Type 2),6.5,22
Glyxambi,Diabetes (Type 2),6.5,22
saccharomyces boulardii lyo,Diarrhea,6.3,22
Zocor,Cholesterol,5,22
verapamil,Hypertension,5,22
Botox,Incontinence,4.4,22
onabotulinumtoxinA,Incontinence,4.4,22
Reglan,GERD (Heartburn),4.1,22
ephedrine / guaifenesin,Colds & Flu,9.2,21
chlorpheniramine,Hayfever,9,21
ixekizumab,Psoriasis,8,21
Celebrex,Rheumatoid Arthritis,8,21
Hiprex,UTI,8,21
Astepro,Hayfever,7.7,21
levorphanol,Pain,7.5,21
Trileptal,Seizures,7.3,21
trospium,Incontinence,6.7,21
Hyzaar,Hypertension,6.6,21
Mobic,Rheumatoid Arthritis,6.4,21
topiramate,Seizures,6.2,21
insulin aspart,Diabetes (Type 2),5.7,21
Quillivant XR,ADHD,5.4,21
Claritin-D,Hayfever,3.7,21
umeclidinium,COPD,2.8,21
desonide,Eczema,9.1,20
Astelin,Hayfever,8.9,20
Taltz,Psoriasis,7.9,20
coal tar,Psoriasis,7.9,20
amlodipine / hydrochlorothiazide / olmesartan,Hypertension,7.5,20
Tribenzor,Hypertension,7.5,20
Zipsor,Pain,7.5,20
Migranal,Migraine,7.4,20
Amaryl,Diabetes (Type 2),7.2,20
diphenhydramine,Hayfever,6.8,20
cefuroxime,UTI,6.8,20
Diovan HCT,Hypertension,6.7,20
labetalol,Hypertension,5.9,20
Kevzara,Rheumatoid Arthritis,5.5,20
sarilumab,Rheumatoid Arthritis,5.5,20
benazepril,Hypertension,5.4,20
Simply Sleep,Insomnia,5.2,20
menthol,Pain,5.2,20
Unisom SleepGels,Insomnia,5.1,20
enalapril,Hypertension,4.8,20
Incruse Ellipta,COPD,2.9,20
dexbrompheniramine / pseudoephedrine,Hayfever,9.9,19
mometasone,Psoriasis,9.3,19
lisdexamfetamine,Depression,8.4,19
ceftriaxone,Pneumonia,8.4,19
Zegerid,GERD (Heartburn),8.3,19
Vytorin,Cholesterol,7.3,19
ezetimibe / simvastatin,Cholesterol,7.3,19
Rituxan,Rheumatoid Arthritis,7.2,19
desvenlafaxine,Bipolar Disorder,6.9,19
Tivicay,AIDS/HIV,6.8,19
triamcinolone,Eczema,6.8,19
iloperidone,Schizophrenia,6.1,19
Afrezza,Diabetes (Type 1),5.9,19
"insulin inhalation, rapid acting",Diabetes (Type 1),5.9,19
Ziac,Hypertension,5.6,19
Trelegy Ellipta,Asthma,5.3,19
fluticasone / umeclidinium / vilanterol,Asthma,5.3,19
venlafaxine,Migraine,4.9,19
lasmiditan,Migraine,4.5,19
Belbuca,Pain,4.4,19
Actonel,Osteoporosis,3.1,19
Xtampza ER,Pain,2.7,19
Symbyax,Depression,9.1,18
raltegravir,AIDS/HIV,8.4,18
Oxytrol,Incontinence,8.4,18
Imitrex Statdose,Migraine,8.4,18
chloral hydrate,Insomnia,8.1,18
Kapvay,ADHD,7.4,18
Tamiflu,Swine Flu,7.3,18
oseltamivir,Swine Flu,7.3,18
linagliptin / metformin,Diabetes (Type 2),6.4,18
Fanapt,Schizophrenia,6.3,18
nabumetone,Osteoarthritis,6.2,18
Abilify Maintena,Bipolar Disorder,5.8,18
tolterodine,Incontinence,5.8,18
Augmentin,UTI,5.1,18
indapamide,Hypertension,4.2,18
Humalog KwikPen,Diabetes (Type 1),3.3,18
Drixoral Cold and Allergy,Hayfever,9.9,17
magnesium salicylate,Pain,9.3,17
Isentress,AIDS/HIV,8.6,17
acetaminophen / diphenhydramine,Pain,8.4,17
Ritalin LA,ADHD,7.9,17
ketamine,Depression,7.6,17
benzphetamine,Weight Loss,7.5,17
hydrochlorothiazide / telmisartan,Hypertension,6.7,17
Levoxyl,Hypothyroidism,6.6,17
ciclesonide,Hayfever,6.4,17
Azithromycin Dose Pack,Bronchitis,5.9,17
brivaracetam,Seizures,5.7,17
Kenalog-40,Osteoarthritis,4.8,17
Reyvow,Migraine,4.5,17
Admelog,Diabetes (Type 1),2,17
desipramine,Depression,9.1,16
methylprednisolone,Rheumatoid Arthritis,8.8,16
Zomig-ZMT,Migraine,8.4,16
prednisone,Osteoarthritis,8.3,16
chlorpheniramine / hydrocodone,Colds & Flu,7.9,16
fluocinonide,Psoriasis,7.6,16
acetaminophen / chlorpheniramine / phenylephrine,Colds & Flu,7.3,16
Xigduo XR,Diabetes (Type 2),7.3,16
dapagliflozin / metformin,Diabetes (Type 2),7.3,16
fesoterodine,Incontinence,6.6,16
Tylenol,Pain,6.6,16
Omnaris,Hayfever,6.1,16
Jentadueto,Diabetes (Type 2),6,16
saxagliptin,Diabetes (Type 2),6,16
diphenhydramine / naproxen,Pain,6,16
"insulin inhalation, rapid acting",Diabetes (Type 2),5.1,16
Kombiglyze XR,Diabetes (Type 2),4.7,16
metformin / saxagliptin,Diabetes (Type 2),4.7,16
Fycompa,Seizures,4.7,16
perampanel,Seizures,4.7,16
Humalog KwikPen,Diabetes (Type 2),3.5,16
Toujeo SoloStar,Diabetes (Type 1),2.3,16
ketoprofen,Pain,9.9,15
Tranxene,Anxiety,9.7,15
triamcinolone,Hair Loss,8.7,15
magnesium oxide,Constipation,8.4,15
Zorvolex,Pain,7.9,15
methylprednisolone,Osteoarthritis,7.8,15
metoprolol,Angina,7.5,15
prednisone,COPD,7.4,15
clopidogrel,Stroke,7.2,15
naloxone / pentazocine,Pain,7,15
sulfamethoxazole / trimethoprim,Bronchitis,6.9,15
Micardis HCT,Hypertension,6.9,15
guselkumab,Psoriasis,6.8,15
Lithobid,Bipolar Disorder,6.7,15
Toviaz,Incontinence,6.5,15
Aleve PM,Pain,6.3,15
Onglyza,Diabetes (Type 2),5.9,15
amoxicillin,Bronchitis,5.8,15
Coreg,Hypertension,5.5,15
Voltaren,Rheumatoid Arthritis,5.5,15
WP Thyroid,Hypothyroidism,5.2,15
Novolog,Diabetes (Type 2),4.9,15
felodipine,Hypertension,4.5,15
furosemide,Hypertension,4.4,15
Soliqua,Diabetes (Type 2),4.3,15
insulin glargine / lixisenatide,Diabetes (Type 2),4.3,15
Elocon,Psoriasis,9.4,14
armodafinil,Bipolar Disorder,9.2,14
diazepam,Seizures,9.1,14
Tudorza Pressair,COPD,9,14
aclidinium,COPD,9,14
chromium picolinate,Diabetes (Type 2),9,14
Kenalog,Psoriasis,8.8,14
acyclovir,Herpes,8.6,14
meprobamate,Anxiety,8.5,14
citalopram,Bipolar Disorder,8.5,14
Prilosec OTC,GERD (Heartburn),8.5,14
budesonide,Hayfever,8.3,14
Methylin,ADHD,8.2,14
Paxil CR,Anxiety,8.1,14
halobetasol,Psoriasis,8,14
Tussionex Pennkinetic,Colds & Flu,7.6,14
Paxil CR,Depression,7.4,14
mesalamine,IBD (Bowel),7.3,14
Truvada,AIDS/HIV,7.1,14
emtricitabine / tenofovir,AIDS/HIV,7.1,14
diphenhydramine / ibuprofen,Insomnia,7.1,14
chorionic gonadotropin (hcg),Weight Loss,7,14
cefuroxime,Pneumonia,6.8,14
Aplenzin,Depression,6.5,14
Tremfya,Psoriasis,6.5,14
lovastatin,Cholesterol,6.4,14
colesevelam,Cholesterol,6.3,14
insulin aspart,Diabetes (Type 1),6.1,14
Briviact,Seizures,6.1,14
loxapine,Schizophrenia,6,14
cefdinir,Pneumonia,5.6,14
Cartia XT,Hypertension,5.5,14
nabumetone,Rheumatoid Arthritis,5.2,14
esterified estrogens / methyltestosterone,Menopause,9.2,13
Bronkaid,Colds & Flu,9.1,13
Clozaril,Schizophrenia,9,13
Kenalog-10,Hair Loss,8.8,13
amlodipine / telmisartan,Hypertension,8.5,13
Cafergot,Migraine,8.5,13
pegloticase,Gout,8,13
chondroitin / glucosamine / methylsulfonylmethane,Osteoarthritis,7.9,13
Nasacort Allergy 24HR,Hayfever,7.5,13
perphenazine,Bipolar Disorder,7.1,13
Minocin,Acne,6.7,13
Florastor,Diarrhea,6.6,13
oxazepam,Insomnia,6.6,13
Xeljanz XR,Rheumatoid Arthritis,6.3,13
sulindac,Pain,5.6,13
Colace,Constipation,5.5,13
Trezix,Pain,5.3,13
prednisone,Psoriasis,5.3,13
fenofibric acid,Cholesterol,5.1,13
terazosin,Hypertension,5.1,13
viloxazine,ADHD,4.5,13
Hymovis,Osteoarthritis,3.9,13
Afrezza,Diabetes (Type 2),3.7,13
Zometa,Osteoporosis,3.3,13
quazepam,Insomnia,9.8,12
Edluar,Insomnia,9.2,12
codeine,Diarrhea,9.1,12
hydrocortisone,Eczema,8.9,12
Methadose,Pain,8.8,12
primidone,Seizures,8.4,12
trifluoperazine,Schizophrenia,8.3,12
galantamine,Alzheimer's,8.1,12
ethosuximide,Seizures,8.1,12
Entocort EC,IBD (Bowel),7.9,12
Budeprion SR,Depression,7.6,12
Lantus,Diabetes (Type 1),7.4,12
Psoriasin,Psoriasis,7.1,12
Benadryl,Hayfever,6.9,12
Advil PM,Insomnia,6.9,12
insulin regular,Diabetes (Type 2),6.8,12
Exelon,Alzheimer's,6.7,12
Zestril,Hypertension,6.7,12
aspirin,Pain,6.7,12
Tri-Linyah,Acne,6.5,12
guanfacine,Hypertension,6.5,12
Plavix,Stroke,6.4,12
Simponi Aria,Rheumatoid Arthritis,6.3,12
cefuroxime,Bronchitis,6.1,12
ertugliflozin,Diabetes (Type 2),5.5,12
amoxicillin / clavulanate,Pneumonia,5.3,12
raloxifene,Osteoporosis,4.9,12
Qelbree,ADHD,4.8,12
paliperidone,Depression,3.9,12
Aristada,Schizophrenia,3.6,12
dexbrompheniramine / pseudoephedrine,Colds & Flu,10,11
chlorpromazine,Schizophrenia,9.1,11
hyoscyamine / methenamine / methylene blue / sodium biphosphate,UTI,8.7,11
Allegra-D 12 Hour,Hayfever,8.6,11
Twynsta,Hypertension,8.4,11
Patanase,Hayfever,8.2,11
olopatadine,Hayfever,8.2,11
Arthrotec,Rheumatoid Arthritis,8.1,11
diclofenac / misoprostol,Rheumatoid Arthritis,8.1,11
methylprednisolone,Asthma,7.9,11
minocycline,Rheumatoid Arthritis,7.9,11
ipratropium,Asthma,7.8,11
pseudoephedrine / triprolidine,Colds & Flu,7.8,11
Zenatane,Acne,7.7,11
Azstarys,ADHD,7.6,11
dexmethylphenidate / serdexmethylphenidate,ADHD,7.6,11
repaglinide,Diabetes (Type 2),7.6,11
Cosentyx,Psoriasis,7.5,11
secukinumab,Psoriasis,7.5,11
Kenalog-40,Hayfever,7.3,11
triamcinolone,Hayfever,7.3,11
methyldopa,Hypertension,6.9,11
Aptensio XR,ADHD,6.8,11
Humalog,Diabetes (Type 2),6.8,11
Welchol,Cholesterol,6.7,11
triamcinolone,Rheumatoid Arthritis,6.5,11
orphenadrine,Migraine,6.4,11
Cipro,Bronchitis,5.5,11
albiglutide,Diabetes (Type 2),4.6,11
Tanzeum,Diabetes (Type 2),4.6,11
Pamelor,Depression,4.4,11
prazosin,Hypertension,4,11
acrivastine / pseudoephedrine,Hayfever,10,10
Semprex-D,Hayfever,10,10
methylergonovine,Migraine,9.8,10
Myorisan,Acne,8.7,10
iloperidone,Bipolar Disorder,8.7,10
Cataflam,Pain,8.6,10
Odefsey,AIDS/HIV,8.4,10
emtricitabine / rilpivirine / tenofovir alafenamide,AIDS/HIV,8.4,10
Krystexxa,Gout,8.4,10
desoximetasone,Eczema,8.3,10
Seroquel XR,Schizophrenia,8,10
montelukast,COPD,7.5,10
bioflavonoids,Osteoarthritis,7.5,10
Septra DS,UTI,7.5,10
insulin isophane,Diabetes (Type 2),7.3,10
amantadine,ADHD,7.2,10
acetaminophen / codeine,Osteoarthritis,7,10
Kenalog-40,Rheumatoid Arthritis,6.3,10
Lopressor,Hypertension,6.2,10
Steglatro,Diabetes (Type 2),6,10
Novolog,Diabetes (Type 1),5.9,10
tirzepatide,Weight Loss,5.7,10
quinapril,Hypertension,5.6,10
Bijuva,Menopause,5.6,10
estradiol / progesterone,Menopause,5.6,10
Prinivil,Hypertension,5.5,10
GlipiZIDE XL,Diabetes (Type 2),5.3,10
Trilipix,Cholesterol,5.1,10
Synjardy XR,Diabetes (Type 2),5.1,10
Hyalgan,Osteoarthritis,4.9,10
Lasix,Hypertension,4.2,10
Drixoral Cold and Allergy,Colds & Flu,10,9
acetaminophen / aspirin / caffeine / salicylamide,Migraine,9.9,9
aspirin / butalbital / caffeine,Pain,9.6,9
Caverject Impulse,Erectile Dysfunction,9.5,9
Chlor-Trimeton,Hayfever,9.2,9
chlorpheniramine / pseudoephedrine,Hayfever,8.9,9
desvenlafaxine,Weight Loss,8.6,9
dimenhydrinate,Insomnia,8.4,9
omega-3 polyunsaturated fatty acids,ADHD,8.2,9
trifluoperazine,Anxiety,8.1,9
Vimovo,Rheumatoid Arthritis,8.1,9
esomeprazole / naproxen,Rheumatoid Arthritis,8.1,9
Benzamycin,Acne,7.7,9
methyl salicylate,Rheumatoid Arthritis,7.7,9
Limbrel,Osteoarthritis,7.5,9
Glucotrol,Diabetes (Type 2),7.4,9
glyburide,Diabetes (Type 2),7.2,9
Fabior,Acne,7.1,9
Tenormin,Hypertension,7.1,9
Risperdal Consta,Schizophrenia,7.1,9
Alvesco,Asthma,7,9
ciclesonide,Asthma,7,9
Osteo Bi-Flex,Osteoarthritis,7,9
Skyrizi,Psoriasis,6.6,9
risankizumab,Psoriasis,6.6,9
valacyclovir,Herpes,5.8,9
acetaminophen / chlorpheniramine,Colds & Flu,5.6,9
Schiff Move Free,Osteoarthritis,5.6,9
Septra,UTI,5.4,9
Equate Sleep Aid,Insomnia,5,9
Paracetamol,Pain,4.6,9
calcitonin,Osteoporosis,4.1,9
azathioprine,Rheumatoid Arthritis,3.4,9
Alprazolam Intensol,Anxiety,10,8
ClearLax,Constipation,9.7,8
Methergine,Migraine,9.7,8
Doans Pills Extra Strength,Pain,9.7,8
cyclosporine,Psoriasis,9.6,8
Percogesic Original Strength,Pain,9.5,8
bismuth subsalicylate,Diarrhea,9.4,8
Olux,Psoriasis,9.1,8
sarecycline,Acne,8.9,8
fluocinonide,Eczema,8.7,8
nitroglycerin,Angina,8.6,8
Cinqair,Asthma,8.6,8
reslizumab,Asthma,8.6,8
nizatidine,GERD (Heartburn),8.6,8
Methylin ER,ADHD,8.5,8
insulin regular,Diabetes (Type 1),8.5,8
cephalexin,Acne,8.4,8
halobetasol,Eczema,8.4,8
desoximetasone,Psoriasis,8.4,8
Catapres-TTS,Hypertension,8,8
piroxicam,Osteoarthritis,8,8
Tylenol 8 Hour,Pain,8,8
Imodium A-D,Diarrhea,7.8,8
Keppra XR,Seizures,7.8,8
Fleet Glycerin Suppositories Adult,Constipation,7.7,8
Aldactone,Acne,7.6,8
Soriatane,Psoriasis,7.6,8
cimetidine,GERD (Heartburn),7.5,8
Zolpimist,Insomnia,7.4,8
piroxicam,Pain,7.4,8
desvenlafaxine,ADHD,7,8
Humalog,Diabetes (Type 1),6.8,8
Imodium,Diarrhea,6.8,8
Altace,Hypertension,6.8,8
Cotempla XR-ODT,ADHD,6.5,8
Coricidin HBP Cold & Flu,Colds & Flu,6.3,8
Evista,Osteoporosis,6.3,8
Goody's Headache Powders,Migraine,6,8
eplerenone,Hypertension,5.9,8
Aleve,Osteoarthritis,5.9,8
Acticlate,Acne,5.7,8
Lidocaine Viscous,Pain,5.6,8
darifenacin,Incontinence,5,8
loratadine,Allergies,4.8,8
Avandia,Diabetes (Type 2),4.3,8
rosiglitazone,Diabetes (Type 2),4.3,8
alogliptin,Diabetes (Type 2),3.4,8
Flonase Sensimist,Hayfever,2.5,8
Allegra Allergy,Hayfever,1.8,8
triamcinolone,Psoriasis,9.9,7
amitriptyline / perphenazine,Anxiety,9.7,7
amlodipine / hydrochlorothiazide / valsartan,Hypertension,9.7,7
Zorvolex,Osteoarthritis,9.4,7
Zarontin,Seizures,9.4,7
Pepto-Bismol,Diarrhea,9.3,7
chlorpheniramine / phenylephrine,Colds & Flu,9,7
trolamine salicylate,Osteoarthritis,9,7
Seysara,Acne,8.7,7
pseudoephedrine / triprolidine,Hayfever,8.7,7
acetaminophen / aspirin / caffeine,Osteoarthritis,8.5,7
Sleep Aid,Insomnia,8.4,7
Zyprexa Zydis,Bipolar Disorder,8.2,7
Clarifoam EF,Acne,8.1,7
Prandin,Diabetes (Type 2),8,7
clonidine,Bipolar Disorder,7.5,7
Zovirax,Herpes,7.4,7
captopril,Hypertension,7.4,7
Aleve,Rheumatoid Arthritis,7.3,7
Naprosyn,Pain,7.2,7
D.H.E. 45,Migraine,6.9,7
atomoxetine,Depression,6.8,7
levetiracetam,Bipolar Disorder,6.7,7
memantine,Migraine,6.7,7
Detrol LA,Incontinence,6.1,7
Supartz FX,Osteoarthritis,6.1,7
insulin detemir,Diabetes (Type 1),5.8,7
Levemir,Diabetes (Type 1),5.8,7
methylcellulose,Constipation,5.7,7
cefixime,UTI,5.7,7
Atacand,Hypertension,5.6,7
efavirenz,AIDS/HIV,5.1,7
Dyazide,Hypertension,4.7,7
Topamax,Seizures,4.3,7
Citrate of Magnesia,Constipation,10,6
dexamethasone,Eczema,10,6
Migergot,Migraine,10,6
ibuprofen,Rheumatoid Arthritis,10,6
probenecid,Gout,9.7,6
Doral,Insomnia,9.7,6
amoxapine,Depression,9.6,6
Actiq,Pain,9.6,6
abacavir / lamivudine,AIDS/HIV,9.4,6
hydrochlorothiazide / irbesartan,Hypertension,9.3,6
Mysoline,Seizures,9.3,6
triamcinolone,Asthma,9,6
isocarboxazid,Depression,9,6
Marplan,Depression,9,6
Namzaric,Alzheimer's,8.8,6
donepezil / memantine,Alzheimer's,8.8,6
Urogesic Blue,UTI,8.8,6
atenolol / chlorthalidone,Hypertension,8.6,6
PanOxyl,Acne,8.5,6
methotrexate,Eczema,8.5,6
imipramine,Pain,8.5,6
Rogaine Women's,Hair Loss,8.3,6
rifaximin,Diarrhea,8.2,6
infliximab,Psoriasis,8.2,6
Lopid,Cholesterol,8,6
Remeron SolTab,Depression,8,6
cyclosporine,Eczema,8,6
Novolin N,Diabetes (Type 2),7.8,6
benzoic acid / hyoscyamine / methenamine / methylene blue / phenyl salicylate,UTI,7.8,6
Ceftin,Pneumonia,7.4,6
nevirapine,AIDS/HIV,7.3,6
metformin / pioglitazone,Diabetes (Type 2),7.2,6
ActoPlus Met,Diabetes (Type 2),7.2,6
dexamethasone,Asthma,6.8,6
Salonpas Pain Patch,Rheumatoid Arthritis,6.8,6
Advil,Pain,6.5,6
Tofranil,Depression,5.8,6
romosozumab,Osteoporosis,5.8,6
Mono-Linyah,Acne,5.7,6
Bactrim,Bronchitis,5.7,6
Augmentin,Pneumonia,5.2,6
ofloxacin,UTI,5.2,6
BC Arthritis,Pain,5,6
Claritin-D 24 Hour,Hayfever,4.7,6
clobetasol,Eczema,4.4,6
Zyprexa Zydis,Schizophrenia,4.4,6
calcium carbonate,GERD (Heartburn),4,6
famotidine / ibuprofen,Rheumatoid Arthritis,4,6
Epzicom,AIDS/HIV,10,5
pramlintide,Diabetes (Type 1),10,5
calcium carbonate / simethicone,GERD (Heartburn),10,5
flurandrenolide,Psoriasis,10,5
Norpramin,Depression,9.8,5
DesOwen,Eczema,9.8,5
amitriptyline / chlordiazepoxide,Depression,9.6,5
Avalide,Hypertension,9.6,5
Exforge HCT,Hypertension,9.6,5
Fiorinal,Pain,9.6,5
Primatene,Colds & Flu,9.4,5
cetirizine / pseudoephedrine,Hayfever,9.4,5
Naprelan,Osteoarthritis,9.4,5
Fuzeon,AIDS/HIV,9.3,5
enfuvirtide,AIDS/HIV,9.3,5
Maxzide,Hypertension,9.3,5
Doxy 100,Acne,9,5
Atrovent,Asthma,9,5
calcium / vitamin d,Osteoporosis,9,5
Fentora,Pain,9,5
Adoxa,Acne,8.8,5
cenobamate,Seizures,8.6,5
Zestoretic,Hypertension,8.3,5
Vicks Nyquil D Cold and Flu Nighttime Relief,Colds & Flu,8.2,5
acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Colds & Flu,8.2,5
ketoprofen,Osteoarthritis,8.2,5
Zegerid OTC,GERD (Heartburn),8,5
hyoscyamine,Incontinence,8,5
Advil Liqui-Gels,Pain,8,5
doxycycline,Rheumatoid Arthritis,8,5
piroxicam,Rheumatoid Arthritis,8,5
darunavir,AIDS/HIV,7.8,5
insulin glulisine,Diabetes (Type 2),7.8,5
indomethacin,Osteoarthritis,7.8,5
Remicade,Psoriasis,7.8,5
Juluca,AIDS/HIV,7.5,5
dolutegravir / rilpivirine,AIDS/HIV,7.5,5
Bevespi Aerosphere,COPD,7.5,5
formoterol / glycopyrrolate,COPD,7.5,5
cromolyn,Hayfever,7.5,5
ibuprofen,Osteoarthritis,7.5,5
Azelex,Acne,7.4,5
levalbuterol,Asthma,7.3,5
lopinavir / ritonavir,AIDS/HIV,7,5
diphenhydramine,Colds & Flu,6.8,5
minoxidil,Hypertension,6.8,5
Absorica,Acne,6.6,5
Indocin,Pain,6.6,5
duloxetine,Incontinence,6.2,5
Onzetra Xsail,Migraine,6.2,5
Benadryl Allergy,Hayfever,6,5
amlodipine / atorvastatin,Hypertension,6,5
Naprosyn,Osteoarthritis,6,5
Bontril PDM,Weight Loss,6,5
imipramine,ADHD,5.5,5
acetaminophen / diphenhydramine / phenylephrine,Colds & Flu,5.2,5
Semglee,Diabetes (Type 2),5,5
Aldactone,Hypertension,5,5
Duexis,Rheumatoid Arthritis,5,5
trolamine salicylate,Rheumatoid Arthritis,5,5
Descovy,AIDS/HIV,4.8,5
emtricitabine / tenofovir alafenamide,AIDS/HIV,4.8,5
colesevelam,Diabetes (Type 2),4.8,5
Evenity,Osteoporosis,4.8,5
Tri-Estarylla,Acne,4.4,5
Sustiva,AIDS/HIV,4.4,5
glyburide / metformin,Diabetes (Type 2),4.3,5
gemifloxacin,Bronchitis,4,5
ciprofloxacin,Pneumonia,3.6,5
Syeda,Acne,2.6,5
insulin isophane,Diabetes (Type 1),10,4
chlorpheniramine / phenylephrine,Hayfever,10,4
Depo-Medrol,Osteoarthritis,10,4
conjugated estrogens,Osteoporosis,10,4
Buprenex,Pain,10,4
Anacin,Pain,10,4
Cordran Tape,Psoriasis,10,4
Xcopri,Seizures,10,4
methamphetamine,Weight Loss,10,4
amitriptyline / chlordiazepoxide,Anxiety,9.8,4
Biaxin XL,Pneumonia,9.8,4
Kenalog-40,Psoriasis,9.8,4
Valium,Seizures,9.8,4
amlodipine,Angina,9.7,4
Nexium 24HR,GERD (Heartburn),9.7,4
Glumetza,Diabetes (Type 2),9.5,4
Ultravate,Eczema,9.5,4
brompheniramine,Hayfever,9.5,4
thioridazine,Schizophrenia,9.5,4
Symtuza,AIDS/HIV,9.3,4
cobicistat / darunavir / emtricitabine / tenofovir alafenamide,AIDS/HIV,9.3,4
Zovirax Cream,Herpes,9.3,4
Tenormin,Anxiety,9,4
Lorazepam Intensol,Anxiety,9,4
Tarka,Hypertension,9,4
trandolapril / verapamil,Hypertension,9,4
Feldene,Osteoarthritis,9,4
Methadone Diskets,Pain,9,4
amoxicillin,Pneumonia,9,4
desonide,Psoriasis,9,4
Excedrin,Osteoarthritis,8.7,4
levalbuterol,COPD,8.5,4
aliskiren / hydrochlorothiazide,Hypertension,8.5,4
Tekturna HCT,Hypertension,8.5,4
Pentasa,IBD (Bowel),8.5,4
Vibramycin,Acne,8.3,4
aspirin,Osteoarthritis,8.3,4
calcitriol,Psoriasis,8.3,4
Vectical,Psoriasis,8.3,4
Feldene,Pain,8,4
etodolac,Rheumatoid Arthritis,8,4
